tag,epoch,train_loss,train_acc,test_acc,r_sigma,r_g,rho
concept0,0,nan,nan,0.104,10.324193732877147,12.692923552042261,1.2294348479360622
concept0,1,2.1549997604810276,0.24799679487179488,0.384,4.676665940596885,14.716838869369766,3.1468655354697948
concept0,2,1.621651897063622,0.44591346153846156,0.522,6.274318080039785,17.7261022280501,2.825183868895869
concept0,3,1.3228037846394074,0.5506810897435898,0.566,7.4538738777212155,17.670004367238427,2.370580004050252
concept0,4,1.095826893280714,0.6376201923076923,0.647,10.074140497829392,22.684217655852112,2.2517273469374115
concept0,5,0.9143037245823786,0.6875,0.651,11.539667157174762,22.94109308062848,1.9880203447952056
concept0,6,0.7013632502311316,0.7584134615384616,0.678,9.632119992705675,21.733335870552185,2.2563398179228105
concept0,7,0.5789769964340405,0.8092948717948718,0.666,12.57073284030478,26.7613677652557,2.1288629792093223
concept0,8,0.5091324738967113,0.8251201923076923,0.637,11.837842311299667,27.259146618534796,2.302712428642077
concept0,9,0.3683753617298909,0.8766025641025641,0.684,14.47614516979203,31.566323293694072,2.1805752100058253
concept0,10,0.21120150578327668,0.9260817307692307,0.694,15.683870679609097,30.9467131215565,1.9731553360606906
concept1,0,nan,nan,0.06,8.903605121854365,13.628063123051941,1.5306230382568455
concept1,1,1.9190620122811732,0.3145032051282051,0.445,6.175548843189094,20.250907488085858,3.279207727491336
concept1,2,1.437958197715955,0.5084134615384616,0.519,7.029879026970062,18.869559725476986,2.684194088274365
concept1,3,1.160794212267949,0.6119791666666666,0.602,9.03580692825588,19.759154146079727,2.186761437353299
concept1,4,0.9833201888280038,0.6674679487179487,0.595,9.05055530994532,19.806198634411675,2.1883959554003694
concept1,5,0.8557924933922596,0.7151442307692307,0.63,11.86186498921998,23.32908622704136,1.9667300418815041
concept2,0,nan,nan,0.093,10.848589599219405,13.074168176658043,1.2051491170427147
concept2,1,1.9599554722125714,0.28465544871794873,0.41,2.9198785732511374,9.319268297800965,3.1916629626910926
concept2,2,1.4825221819755359,0.46875,0.547,5.083270954814174,13.733667209337094,2.701738178314193
concept2,3,1.201677605127677,0.5783253205128205,0.566,5.623837926760597,15.179832561745231,2.6991945286177565
concept2,4,1.0514915616084368,0.6392227564102564,0.604,7.073844938082309,21.720726309888985,3.0705686228651468
concept2,5,0.8468487109893408,0.711738782051282,0.662,7.517207443959318,24.758945782904664,3.29363609658005
