pair,d1_mean,d2_mean,diff,cohen_d,t,p_raw,p_bonf,sig
c0_00_09 vs c1_20_29,2.148416624319621,2.3528360691488346,0.2044194448292136,0.9600352823933772,-1.1757982884662648,0.30487946077981753,1.0,no
c0_00_09 vs c2_40_49,2.148416624319621,1.8797565569510244,0.2686600673685966,2.0689925348695084,2.5339879960289142,0.0643909810543994,0.643909810543994,no
c0_00_09 vs c3_60_69,2.148416624319621,2.1042518712689997,0.044164753050621286,0.5097948680524034,0.6243686501089329,0.5662311710269944,1.0,no
c0_00_09 vs c4_80_89,2.148416624319621,2.5499618062410025,0.40154518192138156,1.114253268561994,-1.3646759761026168,0.2440817446139755,1.0,no
c1_20_29 vs c2_40_49,2.3528360691488346,1.8797565569510244,0.4730795121978102,1.9214296142926763,2.3532610658448743,0.07823620736814729,0.7823620736814729,no
c1_20_29 vs c3_60_69,2.3528360691488346,2.1042518712689997,0.24858419787983488,1.0979065346828731,1.3446553976201607,0.24992387189188212,1.0,no
c1_20_29 vs c4_80_89,2.3528360691488346,2.5499618062410025,0.19712573709216796,0.4730802121801105,-0.5794025636244351,0.5933829532606096,1.0,no
c2_40_49 vs c3_60_69,1.8797565569510244,2.1042518712689997,0.22449531431797531,1.4871856076348262,-1.8214229457581377,0.1426411219389668,1.0,no
c2_40_49 vs c4_80_89,1.8797565569510244,2.5499618062410025,0.6702052492899782,1.7591396090593556,-2.1544972142572507,0.09748859413584733,0.9748859413584733,no
c3_60_69 vs c4_80_89,2.1042518712689997,2.5499618062410025,0.44570993497200284,1.2095202215272856,-1.4813536881599618,0.21263410911647962,1.0,no
