concept,seed,test_acc,rho,r_sigma,tr_sigma,max_eig_sigma,eig_spread_sigma,r_g,tr_g,max_eig_g,eig_spread_g
c0_00_09,42,0.603,2.1201888263679676,10.092729274130793,87.35304023047657,19.536369131333394,1.5149457981537158,21.398491834568997,52.35790736109099,5.45245179733668,0.489649343067918
c0_00_09,43,0.64,2.193866079399961,10.11102346869291,90.25727804693945,18.466797089407365,1.5638503607746244,22.182231415982308,51.82978165486068,5.81085736636885,0.47569005305352774
c0_00_09,44,0.638,2.1311949671909347,11.327893422011984,111.32320155653228,22.69986937128997,1.8613506434631115,24.141949449867237,63.33326824544914,6.196381907874434,0.5560610927636573
c1_20_29,42,0.688,2.386125942945168,11.649113311897148,108.78152507446877,20.936070719171873,1.741130163797259,27.79625148582569,46.76375733682081,4.800892992384336,0.3815579697956024
c1_20_29,43,0.684,2.0390936489507383,12.341455735621253,105.9553141733767,18.06703065722615,1.6556799913011562,25.16538400931196,47.29253856531143,4.7667446773195135,0.4062670589418674
c1_20_29,44,0.654,2.633288615550597,10.386429981249481,82.8512959735874,16.44347239123561,1.4287821611155889,27.350467825837658,31.422083540653183,3.2917725582386788,0.2583429040727737
c2_40_49,42,0.683,1.8593611513869306,11.838727042760523,102.08892412498626,18.926431661910776,1.663019895380321,22.0124691451828,50.64316275054488,5.2326329963844636,0.46666904395784015
c2_40_49,43,0.632,1.7115421239722561,10.205251398991408,84.40820053754722,18.84925607330746,1.4780896934881682,17.46671765510059,56.930873277044135,8.464941215274177,0.5922151566872645
c2_40_49,44,0.682,2.0683663954938862,11.778001250183914,73.66152657727424,13.258478806676816,1.2012707421057762,24.361221991965387,33.53589960225908,3.9778861407907184,0.29304855369541777
c3_60_69,42,0.656,2.2247173158058553,9.293165420452116,87.08765682841457,18.42702474880271,1.6081150648066533,20.674666029528023,34.88429576932158,4.352101389713107,0.33214317027150936
c3_60_69,43,0.665,1.9935525309384055,9.490374143134476,87.85312600921945,20.53341830667847,1.5897563098640337,18.919559392598135,37.81469740350105,5.337929162862832,0.3770457476397364
c3_60_69,44,0.648,2.0944857670627384,8.904692547594577,102.83092533075194,23.714861420461496,1.9169129669805705,18.650751801006475,43.740899132772675,6.477395853549863,0.43938660109188143
c4_80_89,42,0.62,2.0687994900990683,10.657245335067207,79.49736670135557,17.57253512485032,1.3633527081417036,22.047703715047714,43.87355839128937,4.3741538016846775,0.4039504676635285
c4_80_89,43,0.631,3.0812626049856697,6.115094201056576,92.3411187587517,33.40843405482214,2.089955228447809,18.842211087680347,40.760835990899444,5.887236245145427,0.4072866148967563
c4_80_89,44,0.628,2.499823323638269,9.008716107666746,76.95589700504685,19.73247277762109,1.4326736368247617,22.520198641981096,37.01756481033501,3.776365228046485,0.3370692723723477
