method,n_settings,concept_re_id_accuracy,assignment_entropy,wrong_memory_reuse_rate,budget_normalized_score,final_accuracy,accuracy_auc,worst_window_dip,worst_window_recovery,mean_rank,win_rate
FedProTrack,6,0.8250,0.1503,0.1750,0.0017,0.6133,4.0393,0.2480,2.1667,6.000,0.000
LocalOnly,6,,,,,0.6327,3.8630,0.1557,2.0000,5.000,0.000
FedAvg,6,,,,,0.5720,3.7060,0.2340,3.6667,6.000,0.000
Oracle,6,1.0000,0.3638,0.0000,,0.6497,4.0978,0.0917,2.3333,4.500,0.333
FedProto,6,,,,0.0032,0.4367,3.5803,0.2790,5.0000,9.000,0.000
TrackedSummary,6,,,,0.0020,0.5630,3.9478,0.2712,3.3333,5.667,0.167
Flash,6,,,,0.0047,0.5630,3.9478,0.2712,3.3333,6.667,0.167
FedDrift,6,0.7625,0.2689,0.2375,0.0051,0.6768,4.2887,0.2227,1.3333,2.333,0.333
IFCA,6,0.9167,0.1681,0.0833,0.0025,0.6743,4.2480,0.2302,1.3333,2.333,0.333
CompressedFedAvg,6,,,,0.0054,0.5773,3.7467,0.2347,4.0000,7.500,0.000
