generator_type,alpha,method,mean,std,n
circle,0.0,FedProTrack,0.6051,0.2403,75
circle,0.0,IFCA,0.6333,0.2785,75
circle,0.0,FedProto,,,0
circle,0.0,FedAvg,,,0
circle,0.0,TrackedSummary,0.6333,0.2785,75
circle,0.0,FedDrift,0.6137,0.2603,75
circle,0.25,FedProTrack,0.5295,0.2148,75
circle,0.25,IFCA,0.5473,0.2509,75
circle,0.25,FedProto,,,0
circle,0.25,FedAvg,,,0
circle,0.25,TrackedSummary,0.5473,0.2509,75
circle,0.25,FedDrift,0.5332,0.2378,75
circle,0.5,FedProTrack,0.4465,0.1932,75
circle,0.5,IFCA,0.4567,0.2219,75
circle,0.5,FedProto,,,0
circle,0.5,FedAvg,,,0
circle,0.5,TrackedSummary,0.4567,0.2219,75
circle,0.5,FedDrift,0.4505,0.2156,75
circle,0.75,FedProTrack,0.3711,0.1777,75
circle,0.75,IFCA,0.3747,0.2057,75
circle,0.75,FedProto,,,0
circle,0.75,FedAvg,,,0
circle,0.75,TrackedSummary,0.3747,0.2057,75
circle,0.75,FedDrift,0.3754,0.1997,75
circle,1.0,FedProTrack,0.3557,0.1534,75
circle,1.0,IFCA,0.3543,0.1752,75
circle,1.0,FedProto,,,0
circle,1.0,FedAvg,,,0
circle,1.0,TrackedSummary,0.3543,0.1752,75
circle,1.0,FedDrift,0.3627,0.1729,75
sea,0.0,FedProTrack,0.7437,0.1427,75
sea,0.0,IFCA,0.6333,0.2785,75
sea,0.0,FedProto,,,0
sea,0.0,FedAvg,,,0
sea,0.0,TrackedSummary,0.6333,0.2785,75
sea,0.0,FedDrift,0.5615,0.2228,75
sea,0.25,FedProTrack,0.6998,0.176,100
sea,0.25,IFCA,0.5522,0.2288,100
sea,0.25,FedProto,,,0
sea,0.25,FedAvg,,,0
sea,0.25,TrackedSummary,0.5522,0.2288,100
sea,0.25,FedDrift,0.4973,0.1892,100
sea,0.5,FedProTrack,0.6281,0.1962,75
sea,0.5,IFCA,0.4567,0.2219,75
sea,0.5,FedProto,,,0
sea,0.5,FedAvg,,,0
sea,0.5,TrackedSummary,0.4567,0.2219,75
sea,0.5,FedDrift,0.419,0.178,75
sea,0.75,FedProTrack,0.6168,0.215,75
sea,0.75,IFCA,0.3747,0.2057,75
sea,0.75,FedProto,,,0
sea,0.75,FedAvg,,,0
sea,0.75,TrackedSummary,0.3747,0.2057,75
sea,0.75,FedDrift,0.3664,0.1574,75
sea,1.0,FedProTrack,0.6154,0.2087,75
sea,1.0,IFCA,0.3543,0.1752,75
sea,1.0,FedProto,,,0
sea,1.0,FedAvg,,,0
sea,1.0,TrackedSummary,0.3543,0.1752,75
sea,1.0,FedDrift,0.3599,0.1449,75
sine,0.0,FedProTrack,0.8397,0.126,75
sine,0.0,IFCA,0.716,0.1908,75
sine,0.0,FedProto,,,0
sine,0.0,FedAvg,,,0
sine,0.0,TrackedSummary,0.6333,0.2785,75
sine,0.0,FedDrift,0.6298,0.2774,75
sine,0.25,FedProTrack,0.8143,0.1551,75
sine,0.25,IFCA,0.6892,0.2168,75
sine,0.25,FedProto,,,0
sine,0.25,FedAvg,,,0
sine,0.25,TrackedSummary,0.5473,0.2509,75
sine,0.25,FedDrift,0.5438,0.2443,75
sine,0.5,FedProTrack,0.7897,0.1889,75
sine,0.5,IFCA,0.6527,0.2345,75
sine,0.5,FedProto,,,0
sine,0.5,FedAvg,,,0
sine,0.5,TrackedSummary,0.4567,0.2219,75
sine,0.5,FedDrift,0.4546,0.2183,75
sine,0.75,FedProTrack,0.7749,0.2114,75
sine,0.75,IFCA,0.629,0.255,75
sine,0.75,FedProto,,,0
sine,0.75,FedAvg,,,0
sine,0.75,TrackedSummary,0.3747,0.2057,75
sine,0.75,FedDrift,0.3778,0.2068,75
sine,1.0,FedProTrack,0.7681,0.2049,75
sine,1.0,IFCA,0.6363,0.2632,75
sine,1.0,FedProto,,,0
sine,1.0,FedAvg,,,0
sine,1.0,TrackedSummary,0.3543,0.1752,75
sine,1.0,FedDrift,0.3579,0.176,75
