param,value,concept_re_id_accuracy,final_accuracy,wrong_memory_reuse_rate
loss_novelty_threshold,0.005,0.7983,0.5472,0.2017
loss_novelty_threshold,0.01,0.7861,0.5471,0.2139
loss_novelty_threshold,0.015,0.7722,0.5474,0.2278
loss_novelty_threshold,0.02,0.7672,0.5474,0.2328
loss_novelty_threshold,0.03,0.7889,0.5476,0.2111
loss_novelty_threshold,0.04,0.77,0.5461,0.23
loss_novelty_threshold,0.06,0.7183,0.5466,0.2817
loss_novelty_threshold,0.08,0.7217,0.546,0.2783
loss_novelty_threshold,0.1,0.6594,0.5496,0.3406
sticky_dampening,0.5,0.7778,0.5472,0.2222
sticky_dampening,0.75,0.7728,0.5472,0.2272
sticky_dampening,1.0,0.7672,0.5474,0.2328
sticky_dampening,1.25,0.7839,0.547,0.2161
sticky_dampening,1.5,0.7772,0.5476,0.2228
sticky_dampening,2.0,0.7367,0.5462,0.2633
sticky_dampening,3.0,0.6706,0.5473,0.3294
omega,0.5,0.7672,0.5474,0.2328
omega,1.0,0.7672,0.5474,0.2328
omega,1.5,0.7672,0.5474,0.2328
omega,2.0,0.7672,0.5474,0.2328
omega,3.0,0.7672,0.5474,0.2328
omega,5.0,0.7672,0.5474,0.2328
omega,8.0,0.7672,0.5474,0.2328
merge_threshold,0.8,0.5394,0.5444,0.4606
merge_threshold,0.85,0.5394,0.5444,0.4606
merge_threshold,0.9,0.5994,0.5455,0.4006
merge_threshold,0.95,0.6661,0.5459,0.3339
merge_threshold,0.98,0.7672,0.5474,0.2328
merge_threshold,0.99,0.6183,0.5462,0.3817
kappa,0.3,0.7539,0.5476,0.2461
kappa,0.4,0.7589,0.5473,0.2411
kappa,0.5,0.7633,0.5475,0.2367
kappa,0.6,0.7672,0.5474,0.2328
kappa,0.7,0.7672,0.5474,0.2328
kappa,0.8,0.7672,0.5474,0.2328
kappa,0.9,0.7672,0.5474,0.2328
