method,seed,final_accuracy,accuracy_auc,concept_re_id_accuracy,assignment_entropy,wrong_memory_reuse_rate,total_bytes,wall_clock_s
FPT-linear-base,42,0.52,6.300624999999999,0.3875,0.5641763324974804,0.6125,462960.0,0.7532906532287598
FPT-adapter-base,42,0.08,1.4081249999999998,0.3875,0.5641763324974804,0.6125,1855648.0,0.8941569328308105
FPT-adapter-hybrid-proto,42,0.24125000000000002,2.9774999999999996,0.2625,0.1799597433773644,0.7375,2381200.0,0.7820243835449219
CFL,42,0.661875,8.6675,,,,374400.0,0.2608063220977783
IFCA,42,0.334375,3.449375,0.15,2.489292122685024e-10,0.85,936000.0,0.34165191650390625
FPT-linear-base,43,0.43000000000000005,7.355625,0.4625,0.5291080935899555,0.5375,462960.0,0.6655473709106445
FPT-adapter-base,43,0.18875,2.1612500000000003,0.4625,0.5291080935899555,0.5375,2102464.0,0.8609664440155029
FPT-adapter-hybrid-proto,43,0.2375,2.9018749999999995,0.4875,0.4010091342689098,0.5125,2397840.0,0.8207170963287354
CFL,43,0.51,9.725625,,,,374400.0,0.2788259983062744
IFCA,43,0.260625,3.6306249999999998,0.25,2.489292122685024e-10,0.75,936000.0,0.3522322177886963
FPT-linear-base,44,0.48624999999999996,6.1775,0.5125,0.5726430338061198,0.4875,462960.0,0.6871685981750488
FPT-adapter-base,44,0.11875000000000001,1.8350000000000002,0.5125,0.5726430338061198,0.4875,2047616.0,0.9165198802947998
FPT-adapter-hybrid-proto,44,0.17875000000000002,2.5575,0.3875,0.3673581145307615,0.6125,2304784.0,0.8318278789520264
CFL,44,0.6018749999999999,8.575937499999998,,,,374400.0,0.2837038040161133
IFCA,44,0.28812499999999996,3.4456249999999993,0.175,2.489292122685024e-10,0.825,936000.0,0.35008716583251953
FPT-linear-base,45,0.53125,6.246875,0.3875,0.5595349490402742,0.6125,462960.0,0.6876144409179688
FPT-adapter-base,45,0.15875,1.794375,0.3875,0.5595349490402742,0.6125,2047616.0,0.9027562141418457
FPT-adapter-hybrid-proto,45,0.27249999999999996,2.5862499999999997,0.3625,0.24182477031730648,0.6375,2254864.0,0.8048584461212158
CFL,45,0.6381249999999999,8.7065625,,,,374400.0,0.2848994731903076
IFCA,45,0.334375,3.2934375000000005,0.1875,2.489292122685024e-10,0.8125,936000.0,0.3580629825592041
FPT-linear-base,46,0.49875,7.194375,0.425,0.5536266773086476,0.575,462960.0,0.682274341583252
FPT-adapter-base,46,0.11,2.02375,0.425,0.5536266773086476,0.575,1979056.0,0.9314892292022705
FPT-adapter-hybrid-proto,46,0.14125,2.9631250000000002,0.45,0.374483251399695,0.55,2353776.0,0.8395180702209473
CFL,46,0.61625,9.775625000000002,,,,374400.0,0.28448915481567383
IFCA,46,0.31,3.8281249999999996,0.1875,2.489292122685024e-10,0.8125,936000.0,0.3552539348602295
