method,canonical_method,status,final_accuracy,accuracy_auc,concept_re_id_accuracy,wrong_memory_reuse_rate,assignment_entropy,total_bytes,wall_clock_s
CFL,CFL,ok,0.62625,2.2093749999999996,,,,83200.0,0.15646052360534668
FedCCFA,FedCCFA,ok,0.5775,1.505,0.5,0.5,5.551206445700265e-11,165120.0,0.12953996658325195
FedRC,FedRC,ok,0.5650000000000001,2.07375,0.4583333333333333,0.5416666666666666,5.551206445700265e-11,166400.0,0.27103114128112793
FedProto,FedProto,ok,0.56,2.0012499999999998,,,,81920.0,0.011721611022949219
FLUX,FLUX,ok,0.5249999999999999,1.5375,,,,174592.0,0.7704067230224609
FLUX-prior,FLUX-prior,ok,0.49625,1.380625,,,,174592.0,0.2955353260040283
FedAvg-FPTTrain,FedAvg-FPTTrain,ok,0.4875,1.4625,,,,83200.0,0.07419586181640625
ATP,ATP,ok,0.41125,1.219375,,,,83328.0,0.05093955993652344
FedProTrack-linear-split,FedProTrack,ok,0.40249999999999997,1.1275,0.5833333333333334,0.4166666666666667,0.33941902745632757,124848.0,0.2598590850830078
FedAvg,FedAvg,ok,0.3375,0.9800000000000001,,,,83200.0,0.02104043960571289
APFL,APFL,ok,0.32625,0.8825000000000001,,,,83232.0,0.11119914054870605
pFedMe,pFedMe,ok,0.2425,1.05625,,,,83200.0,0.2873971462249756
Flash,Flash,ok,0.24,0.70375,,,,83200.0,0.10919547080993652
TrackedSummary,TrackedSummary,ok,0.23875,0.651875,0.5,0.5,0.18744504825252428,126848.0,0.17362213134765625
CompressedFedAvg,CompressedFedAvg,ok,0.23124999999999998,0.714375,,,,66560.0,0.10075592994689941
LocalOnly,LocalOnly,ok,0.21750000000000003,0.6200000000000001,,,,0.0,0.020745277404785156
IFCA,IFCA,ok,0.21625,0.5912499999999999,0.625,0.375,0.4184941084299046,208000.0,0.15188860893249512
Oracle,Oracle,ok,0.15000000000000002,0.43125,1.0,0.0,0.8010279577432283,83200.0,0.022360801696777344
FedDrift,FedDrift,ok,0.145,0.46625,0.4583333333333333,0.5416666666666666,5.551206445700265e-11,83200.0,0.1110842227935791
FedEM,FedEM,ok,0.13,0.54375,0.4583333333333333,0.5416666666666666,0.5481768915802693,249696.0,0.12325286865234375
