K,seed,method,final_acc,mean_acc,re_id,total_bytes,elapsed_s,gs_min_group_size,gs_mean_group_size,gs_max_group_size,gs_n_active_concepts_mean
10,42,FedProTrack,0.5092,0.5089,0.4867,5940.0,2.5,2,2.8055555555555554,6,3.6333333333333333
10,42,FPT-default,0.536,0.5119,0.34,6000.0,1.3,2,2.8055555555555554,6,3.6333333333333333
10,42,CFL,0.5548,0.5148,0.34,3360.0,0.5,2,2.8055555555555554,6,3.6333333333333333
10,42,FedAvg,0.536,0.5119,0.0,3360.0,0.3,2,2.8055555555555554,6,3.6333333333333333
10,42,Oracle,0.6528,0.6343,1.0,3360.0,0.3,2,2.8055555555555554,6,3.6333333333333333
10,123,FedProTrack,0.5528,0.504,0.4767,5940.0,1.3,2,2.7777777777777777,7,3.7
10,123,FPT-default,0.5472,0.5037,0.3567,6000.0,1.4,2,2.7777777777777777,7,3.7
10,123,CFL,0.5192,0.5199,0.3567,3360.0,0.5,2,2.7777777777777777,7,3.7
10,123,FedAvg,0.5472,0.5037,0.0,3360.0,0.3,2,2.7777777777777777,7,3.7
10,123,Oracle,0.6604,0.5877,1.0,3360.0,0.3,2,2.7777777777777777,7,3.7
10,456,FedProTrack,0.5268,0.5181,0.4967,5904.0,1.3,2,3.111111111111111,8,3.3666666666666667
10,456,FPT-default,0.53,0.5207,0.3867,6000.0,1.3,2,3.111111111111111,8,3.3666666666666667
10,456,CFL,0.531,0.5061,0.3867,3360.0,0.5,2,3.111111111111111,8,3.3666666666666667
10,456,FedAvg,0.53,0.5207,0.0,3360.0,0.3,2,3.111111111111111,8,3.3666666666666667
10,456,Oracle,0.6128,0.5466,1.0,3360.0,0.3,2,3.111111111111111,8,3.3666666666666667
20,42,FedProTrack,0.5598,0.5141,0.555,11916.0,2.7,2,5.111111111111112,14,3.933333333333333
20,42,FPT-default,0.519,0.5054,0.3617,12000.0,3.1,2,5.111111111111112,14,3.933333333333333
20,42,CFL,0.5537,0.5135,0.3617,6720.0,1.1,2,5.111111111111112,14,3.933333333333333
20,42,FedAvg,0.519,0.5054,0.0,6720.0,0.6,2,5.111111111111112,14,3.933333333333333
20,42,Oracle,0.6188,0.5517,1.0,6720.0,0.6,2,5.111111111111112,14,3.933333333333333
20,123,FedProTrack,0.535,0.5142,0.5417,11880.0,2.8,2,5.166666666666667,15,3.9
20,123,FPT-default,0.5094,0.5208,0.4483,12000.0,3.0,2,5.166666666666667,15,3.9
20,123,CFL,0.4982,0.5342,0.4483,6720.0,1.3,2,5.166666666666667,15,3.9
20,123,FedAvg,0.5094,0.5208,0.0,6720.0,0.7,2,5.166666666666667,15,3.9
20,123,Oracle,0.6564,0.5898,1.0,6720.0,0.7,2,5.166666666666667,15,3.9
20,456,FedProTrack,0.566,0.533,0.535,11916.0,3.5,2,5.111111111111112,14,3.933333333333333
20,456,FPT-default,0.5616,0.5272,0.4017,12000.0,4.3,2,5.111111111111112,14,3.933333333333333
20,456,CFL,0.5744,0.5195,0.4017,6720.0,1.0,2,5.111111111111112,14,3.933333333333333
20,456,FedAvg,0.5616,0.5272,0.0,6720.0,0.7,2,5.111111111111112,14,3.933333333333333
20,456,Oracle,0.6366,0.6237,1.0,6720.0,0.6,2,5.111111111111112,14,3.933333333333333
30,42,FedProTrack,0.5648,0.5201,0.5422,17880.0,4.6,2,7.583333333333333,20,3.966666666666667
30,42,FPT-default,0.5381,0.5151,0.3733,18000.0,5.2,2,7.583333333333333,20,3.966666666666667
30,42,CFL,0.5418,0.517,0.3733,10080.0,1.6,2,7.583333333333333,20,3.966666666666667
30,42,FedAvg,0.5381,0.5151,0.0,10080.0,0.8,2,7.583333333333333,20,3.966666666666667
30,42,Oracle,0.6232,0.581,1.0,10080.0,0.8,2,7.583333333333333,20,3.966666666666667
30,123,FedProTrack,0.4769,0.5319,0.5811,17832.0,4.0,2,7.5,22,4.0
30,123,FPT-default,0.4877,0.5373,0.4733,18000.0,4.2,2,7.5,22,4.0
30,123,CFL,0.5025,0.5405,0.4733,10080.0,1.3,2,7.5,22,4.0
30,123,FedAvg,0.4877,0.5373,0.0,10080.0,0.7,2,7.5,22,4.0
30,123,Oracle,0.6743,0.6181,1.0,10080.0,0.8,2,7.5,22,4.0
30,456,FedProTrack,0.5601,0.5538,0.5533,17880.0,3.5,2,7.583333333333333,22,3.966666666666667
30,456,FPT-default,0.5613,0.5437,0.4322,18000.0,4.0,2,7.583333333333333,22,3.966666666666667
30,456,CFL,0.5684,0.5259,0.4322,10080.0,1.3,2,7.583333333333333,22,3.966666666666667
30,456,FedAvg,0.5613,0.5437,0.0,10080.0,0.7,2,7.583333333333333,22,3.966666666666667
30,456,Oracle,0.648,0.6335,1.0,10080.0,0.7,2,7.583333333333333,22,3.966666666666667
